GHvC,qVPubPM4ShA,[3],
eevC,HVU_mdMl36c,"[0, 1, 124, 264, 1813]",
d1vC,HdDhV-FgdJk,"[11, 20, 22, 29, 32, 122, 302, 2899, 3549]",
sOvC,bVPlv0BjQuA,"[16, 199]",
chvC,bfakQOjtnCA,[8],
MNvC,,"[0, 1, 714]",
lcvC,dFdpR2EnBvI,"[11, 20, 22, 29, 32, 122, 680]",
wuvC,2g-mlcbbTSg,"[19, 53, 58, 228, 1894]","[{'text': 'you', 'start': 7.47, 'duration': 2.059}, {'text': 'you', 'start': 10.71, 'duration': 2.06}, {'text': 'everyone this is block number 47 on my', 'start': 26.41, 'duration': 6.63}, {'text': 'youtube series past weekend was the SS a', 'start': 30.05, 'duration': 6.029}, {'text': 'Florida Cup race at high springs and I', 'start': 33.04, 'duration': 4.69}, {'text': 'really showed up because I wanted to put', 'start': 36.079, 'duration': 3.39}, {'text': 'in some solid hundred percent effort', 'start': 37.73, 'duration': 4.349}, {'text': 'labs and there was some good competition', 'start': 39.469, 'duration': 4.561}, {'text': 'there i made a showed up so it was nice', 'start': 42.079, 'duration': 5.971}, {'text': 'to have her battling it out and my', 'start': 44.03, 'duration': 6.12}, {'text': 'results of that race i won all the', 'start': 48.05, 'duration': 3.99}, {'text': ""Moto's but in the finals I ended up"", 'start': 50.15, 'duration': 5.45}, {'text': 'taking second behind Amanda', 'start': 52.04, 'duration': 3.56}, {'text': 'sit down', 'start': 78.84, 'duration': 5.42}, {'text': 'back', 'start': 81.84, 'duration': 4.42}, {'text': 'Oh', 'start': 84.26, 'duration': 2.0}, {'text': ""I'm the type of person and I'm sure just"", 'start': 96.04, 'duration': 4.15}, {'text': ""like most athletes I don't really like"", 'start': 98.63, 'duration': 5.34}, {'text': 'to lose so I show up with with a goal', 'start': 100.19, 'duration': 6.24}, {'text': 'and my goal is to put in you know a', 'start': 103.97, 'duration': 4.35}, {'text': 'hundred percent effort labs every time', 'start': 106.43, 'duration': 4.14}, {'text': 'because this is my career this is my', 'start': 108.32, 'duration': 7.04}, {'text': 'this is my focus right now', 'start': 110.57, 'duration': 4.79}, {'text': 'is it gone poofy the food', 'start': 134.84, 'duration': 6.48}, {'text': 'and', 'start': 138.99, 'duration': 2.33}, {'text': 'Oh', 'start': 145.64, 'duration': 3.0}, {'text': 'fair', 'start': 166.54, 'duration': 5.069}, {'text': 'gurgaon', 'start': 168.609, 'duration': 3.0}, {'text': 'but I wanted to put in a hundred percent', 'start': 178.48, 'duration': 3.94}, {'text': 'effort laps and have a fair shot at the', 'start': 180.59, 'duration': 4.41}, {'text': ""wind and unfortunately I didn't come out"", 'start': 182.42, 'duration': 5.88}, {'text': 'with a win on Saturday or Sunday but I', 'start': 185.0, 'duration': 5.34}, {'text': 'learned a lot of things i watch the', 'start': 188.3, 'duration': 5.61}, {'text': 'videos over and over and really critical', 'start': 190.34, 'duration': 6.3}, {'text': 'of myself and I just want to make sure', 'start': 193.91, 'duration': 5.94}, {'text': ""that that I don't let those mistakes"", 'start': 196.64, 'duration': 6.45}, {'text': 'happen again really so something really', 'start': 199.85, 'duration': 4.62}, {'text': ""exciting that i'm going to be sharing"", 'start': 203.09, 'duration': 5.67}, {'text': ""with you guys in this blog is well it's"", 'start': 204.47, 'duration': 5.58}, {'text': ""a new friend that I'm going to be"", 'start': 208.76, 'duration': 4.29}, {'text': ""writing I'm with jay and our bicycles"", 'start': 210.05, 'duration': 6.0}, {'text': 'for the 2014 season and as you guys know', 'start': 213.05, 'duration': 4.86}, {'text': ""I've been writing a supercross frame for"", 'start': 216.05, 'duration': 4.26}, {'text': 'the past three years gonna switch things', 'start': 217.91, 'duration': 4.74}, {'text': ""up and I'm popping on a carbon fiber"", 'start': 220.31, 'duration': 5.01}, {'text': 'prophecy frame I still love Supercross', 'start': 222.65, 'duration': 4.59}, {'text': 'and speed line products i do believe in', 'start': 225.32, 'duration': 3.75}, {'text': 'them or else I probably would have put', 'start': 227.24, 'duration': 3.72}, {'text': 'into him on his bicycle of course the', 'start': 229.07, 'duration': 4.23}, {'text': 'guys at J&R always have the hook up with', 'start': 230.96, 'duration': 5.69}, {'text': 'anything you really need', 'start': 233.3, 'duration': 3.35}, {'text': 'you', 'start': 277.75, 'duration': 2.06}]"
RyvC,,"[242, 254, 470]",
HEvC,CzhH9dQhOYk,"[2, 402]",
iAvC,D-_0TajweGM,"[2, 17, 30, 143]",
DZvC,Yfla7ed8_u4,"[0, 1, 336]",
vzvC,YjWjCQGIPns,[304],
KMvC,YpymtjIfltI,"[0, 12]",
